l,one,two
0,data_speech_commands_v0.02/right/067f61e2_right_0.wav,data_speech_commands_v0.02/four/5a98d407_four_0.wav
1,data_speech_commands_v0.02/right/229978fd_right_0.wav,data_speech_commands_v0.02/left/229978fd_left_3.wav
1,data_speech_commands_v0.02/right/229978fd_right_0.wav,data_speech_commands_v0.02/three/229978fd_three_0.wav
0,data_speech_commands_v0.02/right/229978fd_right_0.wav,data_speech_commands_v0.02/left/211b928a_left_3.wav
0,data_speech_commands_v0.02/right/229978fd_right_0.wav,data_speech_commands_v0.02/one/b0ae6326_one_0.wav
1,data_speech_commands_v0.02/right/73f20b00_right_0.wav,data_speech_commands_v0.02/down/73f20b00_down_1.wav
1,data_speech_commands_v0.02/right/73f20b00_right_0.wav,data_speech_commands_v0.02/three/73f20b00_three_1.wav
0,data_speech_commands_v0.02/right/73f20b00_right_0.wav,data_speech_commands_v0.02/one/37dca74f_one_2.wav
0,data_speech_commands_v0.02/right/73f20b00_right_0.wav,data_speech_commands_v0.02/one/0cb74144_one_0.wav
1,data_speech_commands_v0.02/right/eee5e541_right_0.wav,data_speech_commands_v0.02/right/eee5e541_right_3.wav
1,data_speech_commands_v0.02/right/eee5e541_right_0.wav,data_speech_commands_v0.02/right/eee5e541_right_3.wav
0,data_speech_commands_v0.02/right/eee5e541_right_0.wav,data_speech_commands_v0.02/off/beb458a4_off_3.wav
0,data_speech_commands_v0.02/right/eee5e541_right_0.wav,data_speech_commands_v0.02/yes/b8874962_yes_1.wav
1,data_speech_commands_v0.02/cat/656e8bb3_cat_0.wav,data_speech_commands_v0.02/cat/656e8bb3_cat_0.wav
1,data_speech_commands_v0.02/cat/656e8bb3_cat_0.wav,data_speech_commands_v0.02/cat/656e8bb3_cat_3.wav
0,data_speech_commands_v0.02/cat/656e8bb3_cat_0.wav,data_speech_commands_v0.02/yes/d394ef8e_yes_0.wav
0,data_speech_commands_v0.02/cat/656e8bb3_cat_0.wav,data_speech_commands_v0.02/on/bbf38549_on_2.wav
1,data_speech_commands_v0.02/cat/6e2ef3d5_cat_0.wav,data_speech_commands_v0.02/cat/6e2ef3d5_cat_0.wav
1,data_speech_commands_v0.02/cat/6e2ef3d5_cat_0.wav,data_speech_commands_v0.02/cat/6e2ef3d5_cat_2.wav
0,data_speech_commands_v0.02/cat/6e2ef3d5_cat_0.wav,data_speech_commands_v0.02/on/ce0cb033_on_1.wav
0,data_speech_commands_v0.02/cat/6e2ef3d5_cat_0.wav,data_speech_commands_v0.02/forward/cc3b5b62_forward_0.wav
1,data_speech_commands_v0.02/cat/826268f8_cat_0.wav,data_speech_commands_v0.02/cat/826268f8_cat_0.wav
1,data_speech_commands_v0.02/cat/826268f8_cat_0.wav,data_speech_commands_v0.02/eight/826268f8_eight_3.wav
0,data_speech_commands_v0.02/cat/826268f8_cat_0.wav,data_speech_commands_v0.02/two/61e2f74f_two_2.wav
0,data_speech_commands_v0.02/cat/826268f8_cat_0.wav,data_speech_commands_v0.02/six/64df20d8_six_0.wav
1,data_speech_commands_v0.02/cat/11860c84_cat_0.wav,data_speech_commands_v0.02/cat/11860c84_cat_0.wav
1,data_speech_commands_v0.02/cat/11860c84_cat_0.wav,data_speech_commands_v0.02/zero/11860c84_zero_1.wav
0,data_speech_commands_v0.02/cat/11860c84_cat_0.wav,data_speech_commands_v0.02/five/42a99aec_five_0.wav
0,data_speech_commands_v0.02/cat/11860c84_cat_0.wav,data_speech_commands_v0.02/yes/fb8c31a9_yes_0.wav
1,data_speech_commands_v0.02/cat/7e556a2c_cat_0.wav,data_speech_commands_v0.02/cat/7e556a2c_cat_1.wav
1,data_speech_commands_v0.02/cat/7e556a2c_cat_0.wav,data_speech_commands_v0.02/cat/7e556a2c_cat_3.wav
0,data_speech_commands_v0.02/cat/7e556a2c_cat_0.wav,data_speech_commands_v0.02/yes/e71a9381_yes_2.wav
0,data_speech_commands_v0.02/cat/7e556a2c_cat_0.wav,data_speech_commands_v0.02/go/439c84f4_go_2.wav
1,data_speech_commands_v0.02/cat/a8f45bdc_cat_0.wav,data_speech_commands_v0.02/cat/a8f45bdc_cat_3.wav
1,data_speech_commands_v0.02/cat/a8f45bdc_cat_0.wav,data_speech_commands_v0.02/cat/a8f45bdc_cat_3.wav
0,data_speech_commands_v0.02/cat/a8f45bdc_cat_0.wav,data_speech_commands_v0.02/on/61ab8fbc_on_3.wav
0,data_speech_commands_v0.02/cat/a8f45bdc_cat_0.wav,data_speech_commands_v0.02/backward/211b928a_backward_1.wav
1,data_speech_commands_v0.02/cat/6414258b_cat_0.wav,data_speech_commands_v0.02/sheila/6414258b_sheila_1.wav
1,data_speech_commands_v0.02/cat/6414258b_cat_0.wav,data_speech_commands_v0.02/cat/6414258b_cat_3.wav
0,data_speech_commands_v0.02/cat/6414258b_cat_0.wav,data_speech_commands_v0.02/yes/02ade946_yes_0.wav
0,data_speech_commands_v0.02/cat/6414258b_cat_0.wav,data_speech_commands_v0.02/five/6fb3d5a7_five_2.wav
1,data_speech_commands_v0.02/cat/fe5c4a7a_cat_0.wav,data_speech_commands_v0.02/cat/fe5c4a7a_cat_2.wav
1,data_speech_commands_v0.02/cat/fe5c4a7a_cat_0.wav,data_speech_commands_v0.02/cat/fe5c4a7a_cat_3.wav
0,data_speech_commands_v0.02/cat/fe5c4a7a_cat_0.wav,data_speech_commands_v0.02/nine/d21fd169_nine_1.wav
0,data_speech_commands_v0.02/cat/fe5c4a7a_cat_0.wav,data_speech_commands_v0.02/stop/1a994c9f_stop_1.wav
1,data_speech_commands_v0.02/cat/1338a799_cat_0.wav,data_speech_commands_v0.02/two/1338a799_two_2.wav
1,data_speech_commands_v0.02/cat/1338a799_cat_0.wav,data_speech_commands_v0.02/two/1338a799_two_1.wav
0,data_speech_commands_v0.02/cat/1338a799_cat_0.wav,data_speech_commands_v0.02/six/6aa8def4_six_0.wav
0,data_speech_commands_v0.02/cat/1338a799_cat_0.wav,data_speech_commands_v0.02/right/2bdbe5f7_right_3.wav
1,data_speech_commands_v0.02/cat/300384f0_cat_0.wav,data_speech_commands_v0.02/two/300384f0_two_1.wav
1,data_speech_commands_v0.02/cat/300384f0_cat_0.wav,data_speech_commands_v0.02/two/300384f0_two_1.wav
0,data_speech_commands_v0.02/cat/300384f0_cat_0.wav,data_speech_commands_v0.02/yes/1b63157b_yes_3.wav
0,data_speech_commands_v0.02/cat/300384f0_cat_0.wav,data_speech_commands_v0.02/down/bbf38549_down_2.wav
1,data_speech_commands_v0.02/cat/f9af823e_cat_0.wav,data_speech_commands_v0.02/cat/f9af823e_cat_2.wav
1,data_speech_commands_v0.02/cat/f9af823e_cat_0.wav,data_speech_commands_v0.02/cat/f9af823e_cat_1.wav
0,data_speech_commands_v0.02/cat/f9af823e_cat_0.wav,data_speech_commands_v0.02/left/a8cf01bc_left_1.wav
0,data_speech_commands_v0.02/cat/f9af823e_cat_0.wav,data_speech_commands_v0.02/forward/5a98d407_forward_1.wav
1,data_speech_commands_v0.02/cat/9637f43f_cat_0.wav,data_speech_commands_v0.02/cat/9637f43f_cat_1.wav
1,data_speech_commands_v0.02/cat/9637f43f_cat_0.wav,data_speech_commands_v0.02/cat/9637f43f_cat_0.wav
0,data_speech_commands_v0.02/cat/9637f43f_cat_0.wav,data_speech_commands_v0.02/two/2dc4f05d_two_3.wav
0,data_speech_commands_v0.02/cat/9637f43f_cat_0.wav,data_speech_commands_v0.02/on/9a69672b_on_1.wav
1,data_speech_commands_v0.02/cat/16db1582_cat_0.wav,data_speech_commands_v0.02/cat/16db1582_cat_3.wav
1,data_speech_commands_v0.02/cat/16db1582_cat_0.wav,data_speech_commands_v0.02/cat/16db1582_cat_1.wav
0,data_speech_commands_v0.02/cat/16db1582_cat_0.wav,data_speech_commands_v0.02/three/fa57ab3b_three_1.wav
0,data_speech_commands_v0.02/cat/16db1582_cat_0.wav,data_speech_commands_v0.02/two/7d6b4b10_two_1.wav
1,data_speech_commands_v0.02/cat/893705bb_cat_0.wav,data_speech_commands_v0.02/on/893705bb_on_3.wav
1,data_speech_commands_v0.02/cat/893705bb_cat_0.wav,data_speech_commands_v0.02/three/893705bb_three_0.wav
0,data_speech_commands_v0.02/cat/893705bb_cat_0.wav,data_speech_commands_v0.02/yes/4e6902d0_yes_0.wav
0,data_speech_commands_v0.02/cat/893705bb_cat_0.wav,data_speech_commands_v0.02/visual/4c6944d6_visual_2.wav
1,data_speech_commands_v0.02/on/f736ab63_on_0.wav,data_speech_commands_v0.02/left/f736ab63_left_3.wav
1,data_speech_commands_v0.02/on/f736ab63_on_0.wav,data_speech_commands_v0.02/yes/f736ab63_yes_3.wav
0,data_speech_commands_v0.02/on/f736ab63_on_0.wav,data_speech_commands_v0.02/five/837a0f64_five_0.wav
0,data_speech_commands_v0.02/on/f736ab63_on_0.wav,data_speech_commands_v0.02/one/eeaf97c3_one_2.wav
1,data_speech_commands_v0.02/on/08ab231c_on_0.wav,data_speech_commands_v0.02/up/08ab231c_up_1.wav
1,data_speech_commands_v0.02/on/08ab231c_on_0.wav,data_speech_commands_v0.02/learn/08ab231c_learn_1.wav
0,data_speech_commands_v0.02/on/08ab231c_on_0.wav,data_speech_commands_v0.02/left/f9643d42_left_0.wav
0,data_speech_commands_v0.02/on/08ab231c_on_0.wav,data_speech_commands_v0.02/eight/ef77b778_eight_0.wav
1,data_speech_commands_v0.02/on/5f9cd2eb_on_0.wav,data_speech_commands_v0.02/left/5f9cd2eb_left_1.wav
1,data_speech_commands_v0.02/on/5f9cd2eb_on_0.wav,data_speech_commands_v0.02/five/5f9cd2eb_five_3.wav
0,data_speech_commands_v0.02/on/5f9cd2eb_on_0.wav,data_speech_commands_v0.02/seven/eaa83485_seven_0.wav
0,data_speech_commands_v0.02/on/5f9cd2eb_on_0.wav,data_speech_commands_v0.02/stop/1c84a139_stop_1.wav
1,data_speech_commands_v0.02/on/c5a1e46c_on_0.wav,data_speech_commands_v0.02/three/c5a1e46c_three_2.wav
1,data_speech_commands_v0.02/on/c5a1e46c_on_0.wav,data_speech_commands_v0.02/right/c5a1e46c_right_1.wav
0,data_speech_commands_v0.02/on/c5a1e46c_on_0.wav,data_speech_commands_v0.02/on/6bf5baf3_on_0.wav
0,data_speech_commands_v0.02/on/c5a1e46c_on_0.wav,data_speech_commands_v0.02/zero/0137b3f4_zero_0.wav
1,data_speech_commands_v0.02/on/d0faf7e4_on_0.wav,data_speech_commands_v0.02/yes/d0faf7e4_yes_2.wav
1,data_speech_commands_v0.02/on/d0faf7e4_on_0.wav,data_speech_commands_v0.02/go/d0faf7e4_go_1.wav
0,data_speech_commands_v0.02/on/d0faf7e4_on_0.wav,data_speech_commands_v0.02/go/ad63d93c_go_3.wav
0,data_speech_commands_v0.02/on/d0faf7e4_on_0.wav,data_speech_commands_v0.02/four/e882abb2_four_3.wav
1,data_speech_commands_v0.02/on/3b195250_on_0.wav,data_speech_commands_v0.02/right/3b195250_right_0.wav
1,data_speech_commands_v0.02/on/3b195250_on_0.wav,data_speech_commands_v0.02/visual/3b195250_visual_2.wav
0,data_speech_commands_v0.02/on/3b195250_on_0.wav,data_speech_commands_v0.02/nine/e71a9381_nine_2.wav
0,data_speech_commands_v0.02/on/3b195250_on_0.wav,data_speech_commands_v0.02/no/9a69672b_no_2.wav
1,data_speech_commands_v0.02/on/365908bd_on_0.wav,data_speech_commands_v0.02/zero/365908bd_zero_2.wav
1,data_speech_commands_v0.02/on/365908bd_on_0.wav,data_speech_commands_v0.02/two/365908bd_two_1.wav
0,data_speech_commands_v0.02/on/365908bd_on_0.wav,data_speech_commands_v0.02/six/fa52ddf6_six_1.wav
0,data_speech_commands_v0.02/on/365908bd_on_0.wav,data_speech_commands_v0.02/backward/3b3d2f59_backward_1.wav
1,data_speech_commands_v0.02/on/4a1e736b_on_0.wav,data_speech_commands_v0.02/five/4a1e736b_five_2.wav
1,data_speech_commands_v0.02/on/4a1e736b_on_0.wav,data_speech_commands_v0.02/right/4a1e736b_right_0.wav
0,data_speech_commands_v0.02/on/4a1e736b_on_0.wav,data_speech_commands_v0.02/no/6727b579_no_2.wav
0,data_speech_commands_v0.02/on/4a1e736b_on_0.wav,data_speech_commands_v0.02/left/8dc18a75_left_1.wav
1,data_speech_commands_v0.02/on/3d794813_on_0.wav,data_speech_commands_v0.02/seven/3d794813_seven_1.wav
1,data_speech_commands_v0.02/on/3d794813_on_0.wav,data_speech_commands_v0.02/go/3d794813_go_3.wav
0,data_speech_commands_v0.02/on/3d794813_on_0.wav,data_speech_commands_v0.02/go/197f4153_go_0.wav
0,data_speech_commands_v0.02/on/3d794813_on_0.wav,data_speech_commands_v0.02/five/91b03183_five_3.wav
1,data_speech_commands_v0.02/on/0f7266cf_on_0.wav,data_speech_commands_v0.02/learn/0f7266cf_learn_0.wav
1,data_speech_commands_v0.02/on/0f7266cf_on_0.wav,data_speech_commands_v0.02/nine/0f7266cf_nine_1.wav
0,data_speech_commands_v0.02/on/0f7266cf_on_0.wav,data_speech_commands_v0.02/three/8b25410a_three_3.wav
0,data_speech_commands_v0.02/on/0f7266cf_on_0.wav,data_speech_commands_v0.02/nine/cfbedff9_nine_1.wav
1,data_speech_commands_v0.02/on/15c563d7_on_0.wav,data_speech_commands_v0.02/stop/15c563d7_stop_0.wav
1,data_speech_commands_v0.02/on/15c563d7_on_0.wav,data_speech_commands_v0.02/one/15c563d7_one_2.wav
0,data_speech_commands_v0.02/on/15c563d7_on_0.wav,data_speech_commands_v0.02/nine/471a0925_nine_0.wav
0,data_speech_commands_v0.02/on/15c563d7_on_0.wav,data_speech_commands_v0.02/seven/617de221_seven_1.wav
1,data_speech_commands_v0.02/on/72e382bd_on_0.wav,data_speech_commands_v0.02/left/72e382bd_left_1.wav
1,data_speech_commands_v0.02/on/72e382bd_on_0.wav,data_speech_commands_v0.02/backward/72e382bd_backward_1.wav
0,data_speech_commands_v0.02/on/72e382bd_on_0.wav,data_speech_commands_v0.02/five/131e738d_five_3.wav
0,data_speech_commands_v0.02/on/72e382bd_on_0.wav,data_speech_commands_v0.02/off/0d82fd99_off_1.wav
1,data_speech_commands_v0.02/on/3cc595de_on_0.wav,data_speech_commands_v0.02/eight/3cc595de_eight_0.wav
1,data_speech_commands_v0.02/on/3cc595de_on_0.wav,data_speech_commands_v0.02/nine/3cc595de_nine_2.wav
0,data_speech_commands_v0.02/on/3cc595de_on_0.wav,data_speech_commands_v0.02/four/a7200079_four_0.wav
0,data_speech_commands_v0.02/on/3cc595de_on_0.wav,data_speech_commands_v0.02/follow/a9ca1818_follow_3.wav
1,data_speech_commands_v0.02/on/69a1a79f_on_0.wav,data_speech_commands_v0.02/off/69a1a79f_off_1.wav
1,data_speech_commands_v0.02/on/69a1a79f_on_0.wav,data_speech_commands_v0.02/no/69a1a79f_no_0.wav
0,data_speech_commands_v0.02/on/69a1a79f_on_0.wav,data_speech_commands_v0.02/zero/de89e2ca_zero_0.wav
0,data_speech_commands_v0.02/on/69a1a79f_on_0.wav,data_speech_commands_v0.02/two/cce7416f_two_2.wav
1,data_speech_commands_v0.02/follow/91b03183_follow_0.wav,data_speech_commands_v0.02/yes/91b03183_yes_3.wav
1,data_speech_commands_v0.02/follow/91b03183_follow_0.wav,data_speech_commands_v0.02/three/91b03183_three_2.wav
0,data_speech_commands_v0.02/follow/91b03183_follow_0.wav,data_speech_commands_v0.02/four/8012c69d_four_3.wav
0,data_speech_commands_v0.02/follow/91b03183_follow_0.wav,data_speech_commands_v0.02/learn/30060aba_learn_1.wav
1,data_speech_commands_v0.02/follow/08ab231c_follow_0.wav,data_speech_commands_v0.02/seven/08ab231c_seven_2.wav
1,data_speech_commands_v0.02/follow/08ab231c_follow_0.wav,data_speech_commands_v0.02/go/08ab231c_go_0.wav
0,data_speech_commands_v0.02/follow/08ab231c_follow_0.wav,data_speech_commands_v0.02/no/ef77b778_no_2.wav
0,data_speech_commands_v0.02/follow/08ab231c_follow_0.wav,data_speech_commands_v0.02/follow/2b5e346d_follow_2.wav
1,data_speech_commands_v0.02/follow/234d6a48_follow_0.wav,data_speech_commands_v0.02/eight/234d6a48_eight_2.wav
1,data_speech_commands_v0.02/follow/234d6a48_follow_0.wav,data_speech_commands_v0.02/one/234d6a48_one_2.wav
0,data_speech_commands_v0.02/follow/234d6a48_follow_0.wav,data_speech_commands_v0.02/five/578d3efb_five_0.wav
0,data_speech_commands_v0.02/follow/234d6a48_follow_0.wav,data_speech_commands_v0.02/zero/14c7b073_zero_0.wav
1,data_speech_commands_v0.02/follow/beb458a4_follow_0.wav,data_speech_commands_v0.02/go/beb458a4_go_2.wav
1,data_speech_commands_v0.02/follow/beb458a4_follow_0.wav,data_speech_commands_v0.02/follow/beb458a4_follow_0.wav
0,data_speech_commands_v0.02/follow/beb458a4_follow_0.wav,data_speech_commands_v0.02/three/113b3fbc_three_3.wav
0,data_speech_commands_v0.02/follow/beb458a4_follow_0.wav,data_speech_commands_v0.02/down/fb727898_down_3.wav
1,data_speech_commands_v0.02/follow/aa80f517_follow_0.wav,data_speech_commands_v0.02/go/aa80f517_go_3.wav
1,data_speech_commands_v0.02/follow/aa80f517_follow_0.wav,data_speech_commands_v0.02/no/aa80f517_no_2.wav
0,data_speech_commands_v0.02/follow/aa80f517_follow_0.wav,data_speech_commands_v0.02/off/a5d1becc_off_1.wav
0,data_speech_commands_v0.02/follow/aa80f517_follow_0.wav,data_speech_commands_v0.02/five/98ea0818_five_3.wav
1,data_speech_commands_v0.02/follow/cb72dfb6_follow_0.wav,data_speech_commands_v0.02/off/cb72dfb6_off_3.wav
1,data_speech_commands_v0.02/follow/cb72dfb6_follow_0.wav,data_speech_commands_v0.02/off/cb72dfb6_off_1.wav
0,data_speech_commands_v0.02/follow/cb72dfb6_follow_0.wav,data_speech_commands_v0.02/two/0d82fd99_two_3.wav
0,data_speech_commands_v0.02/follow/cb72dfb6_follow_0.wav,data_speech_commands_v0.02/go/a045368c_go_2.wav
1,data_speech_commands_v0.02/follow/1496195a_follow_0.wav,data_speech_commands_v0.02/follow/1496195a_follow_2.wav
1,data_speech_commands_v0.02/follow/1496195a_follow_0.wav,data_speech_commands_v0.02/go/1496195a_go_2.wav
0,data_speech_commands_v0.02/follow/1496195a_follow_0.wav,data_speech_commands_v0.02/six/32ad5b65_six_1.wav
0,data_speech_commands_v0.02/follow/1496195a_follow_0.wav,data_speech_commands_v0.02/zero/d1dd03ed_zero_2.wav
1,data_speech_commands_v0.02/follow/f568162b_follow_0.wav,data_speech_commands_v0.02/up/f568162b_up_2.wav
1,data_speech_commands_v0.02/follow/f568162b_follow_0.wav,data_speech_commands_v0.02/nine/f568162b_nine_0.wav
0,data_speech_commands_v0.02/follow/f568162b_follow_0.wav,data_speech_commands_v0.02/five/cc8b3228_five_0.wav
0,data_speech_commands_v0.02/follow/f568162b_follow_0.wav,data_speech_commands_v0.02/left/f5733968_left_3.wav
1,data_speech_commands_v0.02/follow/29dce108_follow_0.wav,data_speech_commands_v0.02/learn/29dce108_learn_0.wav
1,data_speech_commands_v0.02/follow/29dce108_follow_0.wav,data_speech_commands_v0.02/yes/29dce108_yes_3.wav
0,data_speech_commands_v0.02/follow/29dce108_follow_0.wav,data_speech_commands_v0.02/yes/e71a9381_yes_2.wav
0,data_speech_commands_v0.02/follow/29dce108_follow_0.wav,data_speech_commands_v0.02/yes/2aca1e72_yes_3.wav
1,data_speech_commands_v0.02/follow/b69fe0e2_follow_0.wav,data_speech_commands_v0.02/two/b69fe0e2_two_2.wav
1,data_speech_commands_v0.02/follow/b69fe0e2_follow_0.wav,data_speech_commands_v0.02/yes/b69fe0e2_yes_1.wav
0,data_speech_commands_v0.02/follow/b69fe0e2_follow_0.wav,data_speech_commands_v0.02/zero/96d8bb6f_zero_3.wav
0,data_speech_commands_v0.02/follow/b69fe0e2_follow_0.wav,data_speech_commands_v0.02/left/a045368c_left_0.wav
1,data_speech_commands_v0.02/follow/bd76a7fd_follow_0.wav,data_speech_commands_v0.02/zero/bd76a7fd_zero_3.wav
1,data_speech_commands_v0.02/follow/bd76a7fd_follow_0.wav,data_speech_commands_v0.02/down/bd76a7fd_down_3.wav
0,data_speech_commands_v0.02/follow/bd76a7fd_follow_0.wav,data_speech_commands_v0.02/eight/833d9f56_eight_0.wav
0,data_speech_commands_v0.02/follow/bd76a7fd_follow_0.wav,data_speech_commands_v0.02/go/64df20d8_go_2.wav
1,data_speech_commands_v0.02/follow/94d370bf_follow_0.wav,data_speech_commands_v0.02/three/94d370bf_three_3.wav
1,data_speech_commands_v0.02/follow/94d370bf_follow_0.wav,data_speech_commands_v0.02/right/94d370bf_right_3.wav
0,data_speech_commands_v0.02/follow/94d370bf_follow_0.wav,data_speech_commands_v0.02/learn/14c7b073_learn_1.wav
0,data_speech_commands_v0.02/follow/94d370bf_follow_0.wav,data_speech_commands_v0.02/eight/645ed69d_eight_0.wav
1,data_speech_commands_v0.02/follow/e0c782d5_follow_0.wav,data_speech_commands_v0.02/three/e0c782d5_three_3.wav
1,data_speech_commands_v0.02/follow/e0c782d5_follow_0.wav,data_speech_commands_v0.02/on/e0c782d5_on_2.wav
0,data_speech_commands_v0.02/follow/e0c782d5_follow_0.wav,data_speech_commands_v0.02/down/8eb4a1bf_down_1.wav
0,data_speech_commands_v0.02/follow/e0c782d5_follow_0.wav,data_speech_commands_v0.02/five/5fadb538_five_1.wav
1,data_speech_commands_v0.02/follow/d5b963aa_follow_0.wav,data_speech_commands_v0.02/seven/d5b963aa_seven_3.wav
1,data_speech_commands_v0.02/follow/d5b963aa_follow_0.wav,data_speech_commands_v0.02/backward/d5b963aa_backward_3.wav
0,data_speech_commands_v0.02/follow/d5b963aa_follow_0.wav,data_speech_commands_v0.02/down/779de043_down_0.wav
0,data_speech_commands_v0.02/follow/d5b963aa_follow_0.wav,data_speech_commands_v0.02/on/fbf3dd31_on_0.wav
1,data_speech_commands_v0.02/visual/4c3cddb8_visual_0.wav,data_speech_commands_v0.02/yes/4c3cddb8_yes_1.wav
1,data_speech_commands_v0.02/visual/4c3cddb8_visual_0.wav,data_speech_commands_v0.02/up/4c3cddb8_up_1.wav
0,data_speech_commands_v0.02/visual/4c3cddb8_visual_0.wav,data_speech_commands_v0.02/five/e0c782d5_five_3.wav
0,data_speech_commands_v0.02/visual/4c3cddb8_visual_0.wav,data_speech_commands_v0.02/visual/b69002d4_visual_3.wav
1,data_speech_commands_v0.02/visual/0d90d8e1_visual_0.wav,data_speech_commands_v0.02/off/0d90d8e1_off_2.wav
1,data_speech_commands_v0.02/visual/0d90d8e1_visual_0.wav,data_speech_commands_v0.02/two/0d90d8e1_two_0.wav
0,data_speech_commands_v0.02/visual/0d90d8e1_visual_0.wav,data_speech_commands_v0.02/backward/5f5eef60_backward_0.wav
0,data_speech_commands_v0.02/visual/0d90d8e1_visual_0.wav,data_speech_commands_v0.02/six/a7acbbeb_six_0.wav
1,data_speech_commands_v0.02/visual/e11fbc6e_visual_0.wav,data_speech_commands_v0.02/visual/e11fbc6e_visual_2.wav
1,data_speech_commands_v0.02/visual/e11fbc6e_visual_0.wav,data_speech_commands_v0.02/visual/e11fbc6e_visual_1.wav
0,data_speech_commands_v0.02/visual/e11fbc6e_visual_0.wav,data_speech_commands_v0.02/five/333784b7_five_3.wav
0,data_speech_commands_v0.02/visual/e11fbc6e_visual_0.wav,data_speech_commands_v0.02/four/01bb6a2a_four_2.wav
1,data_speech_commands_v0.02/visual/96d8bb6f_visual_0.wav,data_speech_commands_v0.02/off/96d8bb6f_off_2.wav
1,data_speech_commands_v0.02/visual/96d8bb6f_visual_0.wav,data_speech_commands_v0.02/visual/96d8bb6f_visual_1.wav
0,data_speech_commands_v0.02/visual/96d8bb6f_visual_0.wav,data_speech_commands_v0.02/three/6bf5baf3_three_2.wav
0,data_speech_commands_v0.02/visual/96d8bb6f_visual_0.wav,data_speech_commands_v0.02/yes/b414c653_yes_0.wav
1,data_speech_commands_v0.02/visual/8e523821_visual_0.wav,data_speech_commands_v0.02/five/8e523821_five_0.wav
1,data_speech_commands_v0.02/visual/8e523821_visual_0.wav,data_speech_commands_v0.02/yes/8e523821_yes_0.wav
0,data_speech_commands_v0.02/visual/8e523821_visual_0.wav,data_speech_commands_v0.02/yes/617de221_yes_3.wav
0,data_speech_commands_v0.02/visual/8e523821_visual_0.wav,data_speech_commands_v0.02/left/189cbabe_left_3.wav
1,data_speech_commands_v0.02/visual/a7216980_visual_0.wav,data_speech_commands_v0.02/nine/a7216980_nine_2.wav
1,data_speech_commands_v0.02/visual/a7216980_visual_0.wav,data_speech_commands_v0.02/forward/a7216980_forward_0.wav
0,data_speech_commands_v0.02/visual/a7216980_visual_0.wav,data_speech_commands_v0.02/right/3589bc72_right_2.wav
0,data_speech_commands_v0.02/visual/a7216980_visual_0.wav,data_speech_commands_v0.02/learn/b29f8b23_learn_2.wav
1,data_speech_commands_v0.02/visual/5a5721f8_visual_0.wav,data_speech_commands_v0.02/one/5a5721f8_one_1.wav
1,data_speech_commands_v0.02/visual/5a5721f8_visual_0.wav,data_speech_commands_v0.02/on/5a5721f8_on_0.wav
0,data_speech_commands_v0.02/visual/5a5721f8_visual_0.wav,data_speech_commands_v0.02/two/b9515bf3_two_0.wav
0,data_speech_commands_v0.02/visual/5a5721f8_visual_0.wav,data_speech_commands_v0.02/no/d3831f6a_no_0.wav
1,data_speech_commands_v0.02/visual/63f7a489_visual_0.wav,data_speech_commands_v0.02/no/63f7a489_no_1.wav
1,data_speech_commands_v0.02/visual/63f7a489_visual_0.wav,data_speech_commands_v0.02/stop/63f7a489_stop_2.wav
0,data_speech_commands_v0.02/visual/63f7a489_visual_0.wav,data_speech_commands_v0.02/up/f822b9bf_up_2.wav
0,data_speech_commands_v0.02/visual/63f7a489_visual_0.wav,data_speech_commands_v0.02/off/c692524d_off_1.wav
1,data_speech_commands_v0.02/visual/b69fe0e2_visual_0.wav,data_speech_commands_v0.02/follow/b69fe0e2_follow_2.wav
1,data_speech_commands_v0.02/visual/b69fe0e2_visual_0.wav,data_speech_commands_v0.02/off/b69fe0e2_off_2.wav
0,data_speech_commands_v0.02/visual/b69fe0e2_visual_0.wav,data_speech_commands_v0.02/down/0d82fd99_down_2.wav
0,data_speech_commands_v0.02/visual/b69fe0e2_visual_0.wav,data_speech_commands_v0.02/five/51f7a034_five_3.wav
1,data_speech_commands_v0.02/visual/e9abfe31_visual_0.wav,data_speech_commands_v0.02/left/e9abfe31_left_2.wav
1,data_speech_commands_v0.02/visual/e9abfe31_visual_0.wav,data_speech_commands_v0.02/five/e9abfe31_five_1.wav
0,data_speech_commands_v0.02/visual/e9abfe31_visual_0.wav,data_speech_commands_v0.02/three/439c84f4_three_3.wav
0,data_speech_commands_v0.02/visual/e9abfe31_visual_0.wav,data_speech_commands_v0.02/three/d070ea86_three_0.wav
1,data_speech_commands_v0.02/visual/b528edb3_visual_0.wav,data_speech_commands_v0.02/one/b528edb3_one_2.wav
1,data_speech_commands_v0.02/visual/b528edb3_visual_0.wav,data_speech_commands_v0.02/follow/b528edb3_follow_0.wav
0,data_speech_commands_v0.02/visual/b528edb3_visual_0.wav,data_speech_commands_v0.02/follow/a2cc5444_follow_0.wav
0,data_speech_commands_v0.02/visual/b528edb3_visual_0.wav,data_speech_commands_v0.02/backward/98ea0818_backward_1.wav
1,data_speech_commands_v0.02/visual/d394ef8e_visual_0.wav,data_speech_commands_v0.02/zero/d394ef8e_zero_3.wav
1,data_speech_commands_v0.02/visual/d394ef8e_visual_0.wav,data_speech_commands_v0.02/no/d394ef8e_no_3.wav
0,data_speech_commands_v0.02/visual/d394ef8e_visual_0.wav,data_speech_commands_v0.02/seven/1b4c9b89_seven_3.wav
